exhibition,edition,latest_basis,source_url,participant_pages_seen,extracted_title_count,coverage_status,note,error_count,errors_json
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,https://13.berlinbiennale.de/en/artists/list,56,65,official_caption_extraction,Titles extracted from official artist-page image captions; repeated installation views are deduplicated.,0,[]
Bienal de Sao Paulo,36th Bienal de Sao Paulo: Not All Travellers Walk Roads - Of Humanity as Practice (2025),Latest official edition page active as of 2026-05-24,https://36.bienal.org.br/en/artists/,125,191,official_caption_extraction,Titles are primarily extracted from official artist-page installation captions; some pages may show one installation title rather than a full object checklist.,0,[]
Biennale of Sydney,25th Biennale of Sydney: Rememory (2026),Current/latest official edition as of 2026-05-24,https://www.biennaleofsydney.art/participants/?participant_type=exhibiting,83,61,official_caption_extraction,Titles extracted from official participant-page artwork captions.,0,[]
Carnegie International,59th Carnegie International: If the word we (2026),Current/latest official edition as of 2026-05-24,https://carnegieart.org/series/59th-carnegie-international/,53,43,partial_official_caption_extraction,"Official edition page lists 61 artists. People pages provide captions but not a full exhibition checklist, so this is a representative/partial title extraction.",0,[]
Gwangju Biennale,"15th Gwangju Biennale: PANSORI, a soundscape of the 21st century (2024)",Latest completed art biennale edition on official archive as of 2026-05-24,https://www.15gwangjubiennale.com/en/artist,72,76,structured_official_content,Official site exposes artwork captions/descriptions through Sanity; emphasized caption titles were extracted.,0,[]
Istanbul Biennial,"18th Istanbul Biennial, first leg (2025)","Current/latest official biennial edition, first leg as of 2026-05-24",https://bienal.iksv.org/en/18th-istanbul-biennial/artists,47,128,structured_official_exhibited_works,Titles extracted from the official EXHIBITED WORKS blocks on artist pages.,0,[]
Liverpool Biennial,Liverpool Biennial 2025: BEDROCK,Latest official edition as of 2026-05-24,https://www.biennial.com/2025-artists/,31,45,official_caption_and_section_extraction,"Titles extracted from official artist pages, captions, and Liverpool Biennial 2025 work sections.",0,[]
Sharjah Biennial,Sharjah Biennial 16: to carry (2025),Latest official Sharjah Biennial edition as of 2026-05-24,https://www.sharjahart.org/en/sharjah-biennial/sb-16/,209,0,no_complete_official_work_title_list_found,"Official SB16 pages state more than 650 works by nearly/more than 190 participants, but the official participant pages inspected are biographies and do not publish a complete work-title checklist.",0,[]
Venice Biennale Arte,61st International Art Exhibition: In Minor Keys (2026),Current/latest official Art edition as of 2026-05-24,https://www.labiennale.org/en/art/2026/artists,103,266,partial_official_text_extraction,La Biennale artist pages contain prose rather than a discrete checklist; italic titles and title-year contexts were extracted from official pages for the main international exhibition.,0,[]
Whitney Biennial,Whitney Biennial 2026,Current/latest official edition as of 2026-05-24,https://whitney.org/exhibitions/2026-biennial/art?section=1,56,80,official_artists_sections,Titles extracted from official Art & Artists sections and installation captions.,0,[]
documenta,documenta fifteen (2022),Latest completed documenta edition; documenta 16 is future-dated for 2027,https://documenta-fifteen.de/en/lumbung-members-artists/,72,42,partial_official_caption_extraction,documenta fifteen was process/collective-oriented and the official site lists lumbung members/artists rather than a complete object checklist; extracted titles are partial.,0,[]
Berlin Biennale,12th Berlin Biennale: Still Present! (2022),Historical edition; collected 2026-05-29 for big-data art-title research,https://12.berlinbiennale.de/exhibition/,,37,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 37 high / 0 medium / 0 low.",0,[]
Berlin Biennale,11th Berlin Biennale: The Crack Begins Within (2020),Historical edition; collected 2026-05-29 for big-data art-title research,https://universes.art/en/berlin-biennale/2020/daadgalerie/naomi-rincon-gallardo,,29,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 29 high / 0 medium / 0 low.",0,[]
Berlin Biennale,10th Berlin Biennale: We Don't Need Another Hero (2018),Historical edition; collected 2026-05-29 for big-data art-title research,https://bb10.berlinbiennale.de/artists/j/julia-phillips,,100,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 99 high / 0 medium / 1 low.",0,[]
Berlin Biennale,9th Berlin Biennale: The Present in Drag (2016),Historical edition; collected 2026-05-29 for big-data art-title research,http://bb9.berlinbiennale.de/wp-content/uploads/2016/06/bb9_presskit_komplett_EN.pdf,,67,historical_expansion_verified,"Past-edition expansion. Collected from official archives + reputable secondary sources (Universes in Universe, Wikipedia, press releases); adversarially fact-checked. Confidence: 63 high / 4 medium / 0 low.",0,[]
