exhibition,edition,latest_basis,artist,title,work_year,confidence,source_url,extraction_method,raw_caption_or_context,coverage_note
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Akademia Ruchu,Potknięcie [The Stumble],1977,high,https://13.berlinbiennale.de/en/artists/akademia-ruchu,official_caption,"Akademia Ruchu, Potknięcie [The Stumble], 1977, video still © Akademia Ruchu",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Akademia Ruchu,Sprawiedliwość jest ostoją mocy i trwałości Rzeczypospolitej [Justice is the mainstay of the strength and durability of the Republic],1980,high,https://13.berlinbiennale.de/en/artists/akademia-ruchu,official_caption,"Akademia Ruchu, Sprawiedliwość jest ostoją mocy i trwałości Rzeczypospolitej [Justice is the mainstay of the strength and durability of the Republic], 1980, installation view, 13th Berlin Biennale, KW Institute for Contemporary Art, 2025. © Akademia Ruchu; image: Diana Pfammatter, Eike Walkenhorst",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Amol K Patil,BURNING SPEECHES,2025,high,https://13.berlinbiennale.de/en/artists/amol-k-patil,official_caption,"Amol K Patil, BURNING SPEECHES, 2025, installation view, 13th Berlin Biennale, Sophiensæle, 2025. © Amol K Patil; image: Eberle & Eisfeld",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Amol K Patil,MANY KILOMETERS SEVERAL WORDS,2025,high,https://13.berlinbiennale.de/en/artists/amol-k-patil,official_caption,"Amol K Patil, MANY KILOMETERS SEVERAL WORDS, 2025, installation view, 13th Berlin Biennale, Sophiensæle, 2025. © Amol K Patil; image: Aristidis Schnelzer",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Amol K Patil,NUMBER OF CHARGES,2025,high,https://13.berlinbiennale.de/en/artists/amol-k-patil,official_caption,"Amol K Patil, NUMBER OF CHARGES, 2025, installation view, 13th Berlin Biennale, Sophiensæle, 2025. © Amol K Patil; image: Aristidis Schnelzer",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Anawana Haloba,Looking for Mukamusaba – An Experimental Opera,2024,high,https://13.berlinbiennale.de/en/artists/anawana-haloba,official_caption,"Installation view, 13th Berlin Biennale, KW Institute for Contemporary Art, 2025; image: Eberle & Eisfeld. Front: Anawana Haloba, Looking for Mukamusaba – An Experimental Opera, 2024/25. © Anawana Haloba; Sammlung Hartwig Art Foundation; Back (from left to right): Iris Yingzen, Garden of Hope, 2025. © Iris Yingzen; Han Bing and Kashmiri Cabbage Walker, Walking the Cabbage in Berlin, 2025. © Han Bing & Kashmiri Cabbage Walker",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Armin Linke,"Anton von Werner, Fotografie der ersten Präsentation des Gemäldes „Der Berliner Kongreß von 1878“, Rotes Rathaus, Festsaal [Photography depicting the first presentation of the painting “The Berlin Congress of 1878”, Red Town Hall, Ballroom, Berlin]",2025,high,https://13.berlinbiennale.de/en/artists/armin-linke,official_caption,"Armin Linke, Anton von Werner, Fotografie der ersten Präsentation des Gemäldes „Der Berliner Kongreß von 1878“, Rotes Rathaus, Festsaal [Photography depicting the first presentation of the painting “The Berlin Congress of 1878”, Red Town Hall, Ballroom, Berlin] 2025, installation view, 13th Berlin Biennale, KW Institute for Contemporary Art, 2025. © Armin Linke; image: Eike Walkenhorst",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Armin Linke,"Anton von Werner, „Der Berliner Kongreß von 1878“, Rotes Rathaus, Festsaal [The Berlin Congress of 1878, Red Town Hall, Ballroom], Berlin",2025,high,https://13.berlinbiennale.de/en/artists/armin-linke,official_caption,"Armin Linke, Anton von Werner, „Der Berliner Kongreß von 1878“, Rotes Rathaus, Festsaal [The Berlin Congress of 1878, Red Town Hall, Ballroom], Berlin, 2025, installation view, 13th Berlin Biennale, KW Institute for Contemporary Art, 2025. © Armin Linke; image: Eike Walkenhorst",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Armin Linke,Negotiation Tables,2025,high,https://13.berlinbiennale.de/en/artists/armin-linke,official_caption,"Armin Linke, Negotiation Tables, 2025, installation view, 13th Berlin Biennale, KW Institute for Contemporary Art, 2025. © Armin Linke; image: Eike Walkenhorst",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Artcom Platform,A Monument to Common Heroes,2025,high,https://13.berlinbiennale.de/en/artists/artcom-platform,official_caption,"Curatorial Cue by Zasha Colah and Valentina Viviani on Artcom Platform, A Monument to Common Heroes, 2025, 13th Berlin Biennale, Former Courthouse Lehrter Straße, 2025. © Artcom Platform; image: Eberle & Eisfeld",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Artcom Platform,Balqaş Jyry [The Song of Lake Balkhash],2025,high,https://13.berlinbiennale.de/en/artists/artcom-platform,official_caption,"Artcom Platform, Balqaş Jyry [The Song of Lake Balkhash], 2025, installation view, 13th Berlin Biennale, Former Courthouse Lehrter Straße, 2025. © Artcom Platform; image: Eberle & Eisfeld",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Chaw Ei Thein,Artists’ Street,2025,high,https://13.berlinbiennale.de/en/artists/chaw-ei-thein,official_caption,"Chaw Ei Thein, Artists’ Street, 2025, Self-Portrait as Stuffed Doll 2004–08, installation view, 13th Berlin Biennale, KW Institute for Contemporary Art, 2025. © Chaw Ei Thein; image: Eberle & Eisfeld",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Daniel Gustav Cramer,Fox & Coyote,2024,high,https://13.berlinbiennale.de/en/artists/daniel-gustav-cramer,official_caption,"Daniel Gustav Cramer, Fox & Coyote, 2024/25 © VG Bild-Kunst, Bonn 2025; Courtesy Sies + Höke, SpazioA, Vera Cortes, Yvon Lambert",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Elshafe Mukhtar,When Bots Rule a Great Nation,2025,high,https://13.berlinbiennale.de/en/artists/elshafe-mukhtar,official_caption,"Elshafe Mukhtar, When Bots Rule a Great Nation, 2025, installation view, 13th Berlin Biennale, Former Courthouse Lehrter Straße, 2025. © Elshafe Mukhtar; image: Eberle & Eisfeld",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Etcétera,LIBERATE MARS,2025,high,https://13.berlinbiennale.de/en/artists/etcetera,official_caption,"Etcétera, LIBERATE MARS, 2025, installation view, 13th Berlin Biennale, KW Institute for Contemporary Art, 2025. © Etcétera; image: Diana Pfammatter, Eike Walkenhorst",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Exterra XX – Künstlerinnengruppe Erfurt,"Selection of performance objects, ca",1988–1993,high,https://13.berlinbiennale.de/en/artists/exterra-xx-kuenstlerinnengruppe-erfurt,official_caption,"Exterra XX – Künstlerinnengruppe Erfurt, Selection of performance objects, ca. 1988–1993, installation view, 13th Berlin Biennale, KW Institute for Contemporary Art, 2025. © Exterra XX – Künstlerinnengruppe Erfurt, image: Diana Pfammatter, Eike Walkenhorst",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Exterra XX – Künstlerinnengruppe Erfurt,Wie besetzt man eine Stasi-Zentrale [How to occupy a Stasi headquarters],2025,high,https://13.berlinbiennale.de/en/artists/exterra-xx-kuenstlerinnengruppe-erfurt,official_caption,"Exterra XX – Künstlerinnengruppe Erfurt, Wie besetzt man eine Stasi-Zentrale [How to occupy a Stasi headquarters], 2025, installation view, 13th Berlin Biennale, Former Courthouse Lehrter Straße, 2025. © Exterra XX – Künstlerinnengruppe Erfurt; image: Marvin Systermans",Extracted from official image captions on artist pages.
Berlin Biennale,13th Berlin Biennale: passing the fugitive on (2025),Latest official edition as of 2026-05-24,Fredj Moussa,بلاد البربر [Land of Barbar],2025,high,https://13.berlinbiennale.de/en/artists/fredj-moussa,official_caption,"Fredj Moussa, بلاد البربر [Land of Barbar], 2025, installation view, 13th Berlin Biennale, Former Courthouse Lehrter Straße, 2025. © VG Bild-Kunst, Bonn 2025; image: Eberle & Eisfeld",Extracted from official image captions on artist pages.
